timestamp,city,transacted_amount,status
2014-07-28,Chennai,1153.74,failure
2014-11-17,Trivandrum,4204.62,failure
2014-08-18,Ahmedabad,2628.85,success
2014-11-08,Jaipur,1505.25,success
2015-01-18,Jaipur,1807.83,failure
2014-12-19,Jaipur,2397.18,failure
2014-06-30,Pune,667.59,failure
2014-08-31,Hyderabad,2945.48,failure
2014-07-23,Ahmedabad,3948.97,failure
2014-05-24,Hyderabad,3485.5,success
2014-03-12,Kochi,748.23,success
2014-03-01,Bangalore,4120.87,failure
2014-12-08,Delhi,972.3,failure
2014-08-18,Bangalore,47.2,failure
2014-05-11,Delhi,1789.98,failure
2014-06-25,Chennai,173.39,failure
2014-04-28,Kolkata,3985.33,failure
2015-01-13,Chennai,1418.04,success
2014-06-30,Hyderabad,2689.41,success
2014-08-17,Jaipur,2564.61,failure
2015-02-24,Ahmedabad,4633.3,success
2014-03-15,Hyderabad,4243.56,failure
2014-04-30,Chennai,860.65,failure
2014-09-09,Ahmedabad,4699.92,failure
2014-05-10,Ahmedabad,2776.51,failure
2015-01-07,Ahmedabad,3840.6,success
2015-02-09,Pune,1586.33,failure
2014-08-22,Hyderabad,1335.6,failure
2014-06-08,Ahmedabad,1051.27,failure
2014-10-11,Delhi,3078.79,failure
2015-02-03,Kolkata,1995.46,success
2014-10-10,Chennai,1500.33,success
2014-06-21,Trivandrum,750.31,success
2014-07-16,Pune,3533.26,success
2015-02-13,Hyderabad,4958.63,success
2015-02-02,Delhi,3811.33,success
2014-12-16,Jaipur,679.88,success
2014-10-24,Delhi,401.46,success
2014-04-28,Trivandrum,3727.2,failure
2015-03-30,Jaipur,4189.58,success
2015-01-07,Jaipur,401.55,success
2014-06-15,Ahmedabad,3975.71,success
2015-01-17,Bangalore,208.85,failure
2015-04-15,Hyderabad,3881.04,success
2014-10-22,Delhi,4367.84,success
2014-06-10,Kochi,1439.36,success
2014-10-05,Pune,802.07,failure
2014-09-05,Chennai,84.58,success
2014-06-17,Bangalore,4155.51,failure
2014-07-25,Jaipur,2836.71,failure
2015-03-17,Delhi,3853.83,failure
2014-08-07,Delhi,1677.09,success
2014-06-15,Chennai,529.84,failure
2014-11-09,Pune,3429.13,failure
2014-07-17,Kochi,4846.99,success
2014-09-05,Trivandrum,929.7,success
2014-03-05,Trivandrum,2902.84,success
2014-06-01,Hyderabad,1515.6,failure
2014-07-19,Bangalore,1843.44,failure
2014-11-26,Chennai,652.78,failure
2014-03-03,Trivandrum,1277.5,failure
2014-05-30,Jaipur,473.79,failure
2014-04-29,Bangalore,1618.68,success
